id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28146045,Urban Jungle Room,2597146,Mathilde,,Slotervaart,52.359398,4.825566,Private room,87.0,3,144,2024-08-31,1.98,1,13,27,0363 C04E 35E1 4638 C8DE
28535049,All the best from Old West,37527947,Thomas,,De Baarsjes - Oud-West,52.36315,4.85999,Entire home/apt,90.0,3,40,2024-07-28,0.55,1,3,7,0363 EA65 DA77 242B 14FB
28797705,Pearl Suite,209920138,Puck,,Centrum-West,52.37095,4.89576,Private room,98.0,1,288,2024-08-14,4.05,3,315,77,036357F7D51C763ED91A
28798431,Delft Blue Suite,209920138,Puck,,Centrum-West,52.37021,4.89717,Private room,97.0,1,294,2024-08-21,4.19,3,327,69,036357F7D51C763ED91A
29251403,Amsterdam center Room Herisson,29722553,Iegor,,Centrum-Oost,52.36996841430664,4.904695987701416,Private room,99.0,3,167,2024-08-19,2.37,2,144,32,0363 8FA7 A726 E9EC 81E1
29258934,Cosy studio  bijzonder pand  Amsterdam- IJburg,44051824,Brigitte,,IJburg - Zeeburgereiland,52.36122,4.97921,Private room,68.0,2,127,2024-07-28,1.79,2,97,16,0363FA5AF913A1FD66D6
29897394,"Modern spacious room for 2, on tram line to centre",219229884,Thérèse,,Buitenveldert - Zuidas,52.32338,4.86945,Private room,95.0,1,0,,,1,135,0,0363 F728 11C3 219B C6C6
30100534,★A Solo Traveller's Haven★Room in rooftop apt★,3825472,Jimmy Tae Jik,,Oud-Oost,52.35981,4.91453,Private room,94.0,2,320,2024-08-16,4.57,2,124,58,0363 89E7 CABE BC9E CF02
30202932,Grande  chambre /petit dejeuner offert/Jardin,226859324,Jacqueline,,De Baarsjes - Oud-West,52.36639,4.8601,Private room,87.0,3,242,2024-08-27,3.45,1,75,43,0363 8260 99B6 2DBB FA2C
30723226,Historical Romantic Houseboat for Couple,226181266,Carien,,Centrum-West,52.38194,4.88528,Private room,92.0,2,137,2024-08-03,1.98,1,85,38,0363 17DE 8290 FAC5 66EF
31139590,Amsterdam Suite in the Heart of the City,217577916,Mimi,,Centrum-West,52.38104,4.89175,Private room,90.0,1,317,2024-08-22,4.61,2,280,76,0363 C9F0 BE30 939B CEE8
32275591,"Private room with bathroom, close to the centre!",7912474,Roy,,Westerpark,52.39456,4.87824,Private room,83.0,2,52,2024-08-23,0.78,1,272,15,0363 D7EB 7A7A 63D5 0693
32352898,Amsterdam centre share house,240660599,Enrico,,IJburg - Zeeburgereiland,52.35847,4.99413,Private room,100.0,2,1,2019-03-10,0.01,1,309,0,0363 FDA0 ECF7 98FC 5102
32485826,Old Pijp Studio,222356269,Paul & Mariana,,De Pijp - Rivierenbuurt,52.35331,4.89781,Private room,52.0,2,41,2022-05-09,0.61,2,342,0,0363 78A8 EB7A 3EB0 F13E
32485928,New Pijp Studio,222356269,Paul & Mariana,,De Pijp - Rivierenbuurt,52.35232,4.89795,Private room,52.0,2,67,2024-08-16,1.03,2,329,19,0363 78A8 EB7A 3EB0 F13E
33005148,Nice bedroom easily access to city centre,248403712,Shuxin,,De Baarsjes - Oud-West,52.37471,4.85988,Private room,55.0,2,75,2024-08-16,1.13,1,4,23,0363 AB2D 778D BA68 5B98
